identifier,pitch,sex
dev_gfffy,105,0
dev_gfhnt,134,0
dev_gfxgp,157,0
dev_ggddz,186,1
dev_ggjnl,160,1
dev_gglgf,193,1
dev_ggmzd,124,0
dev_phjas,115,0
dev_phkli,114,0
dev_phueg,174,1
dev_phvlz,203,1
dev_pihta,112,0
dev_pijco,124,0
dev_pimrz,152,0
dev_pjyfm,189,0
dev_pkblc,171,1
dev_pkfpa,208,1
dev_pkjks,128,0
dev_pkohv,100,0
dev_plhnu,180,0
dev_pmtnh,211,1
dev_pmtod,180,1
dev_ppzfx,143,0
dev_pqfjd,117,0
dev_pqqsp,128,0
dev_prgao,158,0
dev_prico,123,0
dev_psfii,108,0
dev_aibnd,169,1
dev_aqkov,111,0
dev_azemo,174,0
dev_bjywt,167,1
dev_bqrck,108,0
dev_bxgik,157,0
dev_cmqus,184,0
dev_czseu,152,0
dev_dhcwx,225,0
dev_dpior,136,0
dev_dyzmb,198,1
dev_eksxp,146,0
dev_exnwl,134,0
dev_ffbyh,170,0
dev_fotss,124,0
dev_fxtbc,178,1
dev_ggvbt,116,0
dev_xjrpx,112,0
dev_xjuag,133,0
dev_xkeck,125,0
dev_xkinp,152,0
dev_xkqxt,187,0
dev_xkwbs,143,0
dev_xmkxm,116,0
dev_xmrny,130,0
dev_xmsnm,111,0
dev_xmucq,108,0
dev_xnhlr,186,0
dev_xonnl,190,0
dev_xoppy,150,0
dev_xoqlj,184,0
dev_xpfkw,120,0
dev_xpqaf,178,1
dev_xpqpu,182,0
dev_xprux,128,0
dev_xqhdg,165,1
dev_xqmig,116,0
dev_xrlnb,123,0
dev_xschk,195,1
dev_daard,132,0
dev_dabsq,102,0
dev_dacmo,162,1
dev_dacyi,150,0
dev_darus,155,1
dev_davrq,143,1
dev_dbpsd,126,0
dev_dbvvi,132,0
dev_dcddp,107,0
dev_dceyp,162,0
dev_dcnnv,178,1
dev_dcsna,111,0
dev_dcxtt,124,0
dev_dddib,168,0
dev_ddqgd,151,0
dev_ddzqc,216,1
dev_dehqb,184,0
dev_dejje,122,0
dev_denie,139,0
dev_deolm,229,1
dev_detpy,122,0
dev_dgcju,105,0
dev_dgyvy,138,1
dev_dhboc,188,1
dev_sxjyx,117,0
dev_sxpqx,180,1
dev_sxxte,222,1
dev_sydtq,157,1
dev_syrth,208,1
dev_szocm,133,0
dev_szqke,98,0
dev_tapmm,119,0
dev_tasdj,143,1
dev_tavvl,140,0
dev_tazpq,151,1
dev_tbdxi,110,0
dev_tbmnr,200,0
dev_tchur,126,0
dev_tcihq,124,0
dev_tclcf,186,0
dev_tcqdl,203,1
dev_tdfft,192,1
dev_tdfnr,131,0
dev_tdpzt,118,0
dev_mjxfb,152,0
dev_mkcqf,124,0
dev_mkuxl,188,1
dev_mlcdu,150,0
dev_mllgu,158,0
dev_mmblp,163,1
dev_mmbsk,105,0
dev_mmkwf,152,0
dev_mmuem,147,0
dev_mnufs,138,0
dev_mnymz,185,0
dev_mozcb,167,0
dev_mplcp,114,0
dev_mqfgx,162,0
dev_mqiul,152,1
dev_mqkpb,110,0
dev_mqmcz,154,0
dev_mqsou,184,0
dev_mrkne,112,0
dev_mrkpp,193,1
dev_mrsvf,188,0
dev_mrujz,169,1
dev_msbby,122,0
dev_mseqb,147,0
dev_mtulf,119,0
dev_mulfy,150,0
dev_muopf,110,0
dev_mvufm,124,0
dev_mxasb,119,0
dev_mxgeh,119,0
dev_mxwmn,106,0
dev_myaex,113,0
dev_mycjo,110,0
dev_myeut,190,1
dev_mywdr,168,0
dev_hjgvj,138,0
dev_hjmhe,147,0
dev_hjmwu,180,0
dev_hjqjr,126,0
dev_hjymh,133,0
dev_hkqvj,126,1
dev_hkruy,101,0
dev_hksvd,200,1
dev_hkxln,143,0
dev_hlbil,167,1
dev_hlncr,113,0
dev_hlsqn,115,0
dev_hlyqw,208,1
dev_hmelh,119,0
dev_hmibx,185,1
dev_hmokp,193,1
dev_hmstd,122,0
dev_hmsxw,154,0
dev_hmwdq,178,1
dev_hnyda,178,1
dev_hobom,203,0
dev_hplej,200,0
dev_yobrj,172,0
dev_yowyg,162,0
dev_yozev,105,0
dev_ypsbo,205,1
dev_yqgnl,142,0
dev_yrygo,105,0
dev_ysdfi,180,1
dev_ysfba,103,0
dev_ysvoq,116,0
dev_ysvpd,145,0
dev_yszup,115,0
dev_ytbui,193,0
dev_ytiqr,131,0
dev_ytmcz,121,0
dev_ytmwh,121,0
dev_ytnjp,158,0
dev_ytoah,105,0
dev_ytrqb,105,0
dev_ytzuq,95,0
dev_yubkv,168,1
dev_yubpe,195,1
dev_yuiva,147,0
dev_yuohb,131,0
dev_yuszs,163,0
dev_yvbkn,170,1
dev_yvmdm,168,0
dev_yvokc,101,0
dev_ywxej,176,1
dev_yxobo,160,1
dev_yyaii,127,0
dev_yygkq,190,0
dev_yykgl,176,1
dev_yzlqr,168,0
dev_yzsgv,157,0
dev_reeof,145,1
dev_regfc,107,0
dev_reohx,111,0
dev_rfcai,165,0
dev_rfqlz,113,0
dev_rfrlt,128,0
dev_rgbig,127,0
dev_rggjn,219,1
dev_rgjcu,115,0
dev_rgkto,158,1
dev_rgxsu,138,0
dev_rhldg,174,0
dev_riavt,126,0
dev_rizzv,167,0
dev_rjjie,157,1
dev_rjmtq,139,0
dev_rjvuo,107,0
dev_rkcqi,170,0
dev_rkdws,129,0
dev_rknex,105,0
dev_rlebo,176,0
dev_rlndg,137,0
dev_rlnvw,115,0
dev_rlphf,163,0
dev_rmfdv,150,1
dev_rocsl,110,0
dev_rohxg,178,0
dev_rowgu,125,0
dev_roxaz,152,0
dev_rpuxz,102,0
dev_rqcfv,119,1
dev_rqczc,113,0
dev_vtjnk,168,0
dev_vtlwk,124,0
dev_vtpbx,172,0
dev_vumbx,120,0
dev_vupii,180,1
dev_vuuda,182,1
dev_vuzdf,180,1
dev_vvbmn,162,1
dev_vvewj,122,0
dev_vvhdn,170,1
dev_vvlbk,127,0
dev_vvxbw,180,0
dev_vwgum,142,1
dev_vwide,198,1
dev_vwjgz,152,0
dev_vwxbu,152,0
dev_vxnec,200,1
dev_vykkv,151,0
dev_vykuq,133,0
dev_vyzhy,193,0
dev_vzfej,114,0
dev_vzthg,118,0
dev_vzvyz,137,0
dev_wanzo,208,0
dev_waswn,203,1
dev_wbuvq,193,1
dev_wbyqk,165,1
dev_wcpzs,208,1
dev_wdiaz,178,1
dev_wdote,150,0
dev_wdzjs,117,0
dev_weins,117,0
dev_wetum,126,0
dev_wexkx,137,0
dev_weyls,123,0
dev_wfhgk,150,0
dev_ekvwo,121,0
dev_ekyhl,110,0
dev_ekzai,182,0
dev_elljo,104,0
dev_elpwx,125,1
dev_elrrt,126,0
dev_elupd,168,0
dev_emaay,125,0
dev_emycv,178,1
dev_encux,119,0
dev_enzyb,180,1
dev_eofyv,105,0
dev_epizq,132,0
dev_epqcn,154,0
dev_eqdnm,107,0
dev_eqnfw,151,0
dev_erplt,157,0
dev_esbhd,98,0
dev_esrdw,163,1
dev_etgzh,165,1
dev_etjie,114,0
dev_etldw,144,0
dev_etlid,157,0
dev_eufkw,198,1
dev_eumzx,93,0
dev_euqfq,118,0
dev_euvti,128,0
dev_evijo,136,0
dev_evnax,114,0
dev_ewdpj,205,1
dev_ewicd,158,1
dev_ewmgv,167,0
dev_ewscj,158,0
dev_ewxss,158,0
dev_exjma,200,1
dev_exmwv,160,0
dev_bkhmw,140,0
dev_bkksb,154,0
dev_bkltc,123,0
dev_bknwr,123,0
dev_blorn,152,1
dev_blwdi,124,0
dev_bmdab,142,0
dev_bmdmm,180,0
dev_bnict,102,0
dev_bnoey,184,1
dev_bnpof,154,0
dev_bnpto,142,0
dev_bnqpz,194,0
dev_boafm,128,0
dev_bofpx,130,0
dev_bohka,165,0
dev_bonen,148,1
dev_boqku,150,1
dev_botav,170,1
dev_bpfpg,132,0
dev_bpoqr,110,0
dev_bpsjs,138,0
dev_bptbn,124,0
dev_bpzbb,130,0
dev_nyeja,146,0
dev_nysxn,104,0
dev_nywvh,148,0
dev_nzeve,108,0
dev_nzpie,105,0
dev_oayiq,124,0
dev_obdkd,150,0
dev_obesh,184,0
dev_obhae,195,0
dev_obwtk,162,1
dev_odaow,111,0
dev_odiqr,149,0
dev_odmxs,158,1
dev_odnuf,188,0
dev_odsso,109,0
dev_oeknu,115,0
dev_ofgqe,96,0
dev_oggdm,97,0
dev_ogkzp,178,1
dev_ognkw,171,1
dev_ogxqx,122,0
dev_ohekl,200,1
dev_kzthi,182,0
dev_kzwsr,211,1
dev_lamjx,167,0
dev_laqmg,184,1
dev_lbbry,125,0
dev_lbeuy,103,0
dev_lbhas,193,1
dev_lbmjx,162,1
dev_ldaua,115,0
dev_ldbtb,186,1
dev_ldmdg,119,0
dev_ldueo,131,0
dev_leoax,182,0
dev_lfapn,120,0
dev_lffcc,200,0
dev_lffea,127,0
dev_lfuxs,121,0
dev_lfyik,132,0
dev_lgdqt,200,1
dev_lgjmk,165,0
dev_lgmoc,182,1
dev_lguyc,123,0
dev_lhnxw,203,0
dev_lhopl,147,0
dev_lhqxv,182,0
dev_lhwkk,120,0
dev_liane,193,1
dev_lifrj,178,0
dev_ikadi,178,1
dev_ikcij,116,0
dev_ikiul,151,0
dev_ikmps,134,0
dev_ikrfu,205,1
dev_ilcse,190,1
dev_ilelt,190,0
dev_illhe,136,0
dev_imjwj,105,0
dev_imjza,115,0
dev_impgm,162,1
dev_ineie,163,0
dev_inihl,112,0
dev_inuei,109,0
dev_inxvn,163,0
dev_inymj,193,0
dev_iodmq,109,0
dev_iowen,105,0
dev_ipkro,184,0
dev_iposh,200,1
dev_ipvry,132,0
dev_ipzdy,95,0
dev_iqcku,170,0
dev_iqfjm,117,0
dev_iqpnd,203,1
dev_iqynu,130,0
dev_iraje,122,0
dev_ireqh,108,0
dev_irlvr,147,0
dev_isheg,107,0
dev_isknf,195,1
dev_tzsvf,168,0
dev_tzzuy,174,1
dev_uafbp,211,1
dev_uafhr,176,1
dev_uakbt,172,0
dev_uanlb,135,0
dev_uavun,176,1
dev_uayxk,143,0
dev_ubeqr,142,0
dev_ubiqm,190,0
dev_ucink,178,1
dev_uckrt,155,1
dev_ucnnu,157,0
dev_ucogm,182,0
dev_ucypq,123,0
dev_udhli,115,0
dev_udnoo,184,1
dev_uduvs,174,0
dev_udwyp,174,0
dev_uebwl,105,0
dev_uenhs,119,0
dev_ueont,143,0
dev_ueslx,157,1
dev_uexpu,142,0
dev_ufwpk,152,0
dev_ugmaj,200,1
dev_ugxiy,160,0
dev_uhbmi,188,1
dev_uhrur,108,0
dev_gszau,119,0
dev_gtjtt,119,0
dev_guhpw,198,1
dev_gujdx,134,0
dev_guplh,119,0
dev_gureu,112,0
dev_gvaga,128,0
dev_gvpfz,116,0
dev_gvrpl,147,0
dev_gvrrv,98,0
dev_gwcmq,123,0
dev_gwgxs,133,0
dev_gxems,128,0
dev_gxkfk,204,1
dev_gxuyj,178,1
dev_gxuzs,102,0
dev_gxwca,155,0
dev_gyepf,148,0
dev_gyloq,98,0
dev_gyltb,137,0
dev_gynjh,113,0
dev_gyopi,136,0
dev_gyujn,103,0
dev_gzdgt,106,0
dev_zhehz,162,0
dev_zhnhp,163,1
dev_zhrbz,123,0
dev_zixuw,133,0
dev_zjmcn,175,0
dev_zjrow,103,0
dev_zjuzx,152,0
dev_zlkjp,109,0
dev_zlopw,150,0
dev_zluhy,135,0
dev_zluvh,111,0
dev_zmkvw,102,0
dev_znfes,151,0
dev_zngvq,125,0
dev_znxdt,160,0
dev_zoifq,203,1
dev_zojcs,119,0
dev_zpfra,165,0
dev_zpidb,148,0
dev_zpyjw,120,0
dev_zqobh,139,0
dev_zqqdm,186,0
dev_zqqht,213,1
dev_zqsio,154,0
dev_qmdpk,137,0
dev_qmjpp,157,0
dev_qmvfo,110,0
dev_qmwal,168,0
dev_qnamt,112,0
dev_qnruz,190,1
dev_qnwlc,117,0
dev_qnykx,176,0
dev_qofba,142,0
dev_qofpg,178,0
dev_qoiza,144,0
dev_qomnj,181,1
dev_qozjf,174,0
dev_qpclx,110,0
dev_qpjcc,120,0
dev_qqhwc,158,0
dev_qqjba,122,0
dev_qqkku,121,0
dev_qqyqg,167,0
dev_qrbey,132,0
dev_qrpzn,130,0
dev_qscbn,206,1
dev_qslyg,178,0
dev_qtqyy,211,1
dev_qtzve,158,0
dev_qubig,167,1
dev_qubsx,102,0
dev_qucwb,193,1
dev_qvocw,116,0
dev_qvvbt,114,0
dev_sbmgt,124,0
dev_sbych,148,0
dev_sbzpo,109,0
dev_scrcm,150,0
dev_sdbcx,107,0
dev_sdsqq,176,0
dev_serjc,113,0
dev_sezrv,99,0
dev_sfnpp,167,1
dev_sfrhj,122,0
dev_sgteb,154,0
dev_sgubw,107,0
dev_sheuc,147,0
dev_shnoh,121,0
dev_sixuo,140,0
dev_siyyi,154,1
dev_sjojg,109,0
dev_sjqgs,165,0
dev_sjrib,110,0
dev_skabw,155,0
dev_skbka,105,0
dev_skdts,162,0
dev_skhin,182,0
dev_skidp,160,0
dev_skikz,150,0
dev_slifl,193,1
dev_slmut,176,1
dev_slopm,130,0
dev_slrap,176,1
dev_ffnkd,163,0
dev_ffywf,122,0
dev_fgosz,112,0
dev_fgpqf,122,0
dev_fgvtl,116,0
dev_fhjdh,216,0
dev_fhjmx,136,0
dev_fifqo,182,0
dev_fighf,148,1
dev_fiizb,198,1
dev_fikjx,157,1
dev_filag,163,0
dev_fizdp,178,1
dev_fjxak,150,1
dev_fjywo,117,0
dev_fkzgu,190,0
dev_fldyn,129,0
dev_fljhj,126,0
dev_flviy,136,0
dev_flxav,147,0
dev_fmgza,147,0
dev_fmphp,107,0
dev_fmttx,188,1
dev_fndeh,157,1
dev_fndib,131,0
dev_fndvk,118,0
dev_fnmij,179,0
dev_fokgd,103,0
dev_dpoqh,208,1
dev_dpwex,147,1
dev_dqflc,165,0
dev_dqjgv,162,0
dev_drbve,158,0
dev_drjng,140,0
dev_drspz,106,0
dev_dsejl,219,1
dev_dsxxw,140,1
dev_dsztg,127,0
dev_dtcvl,208,1
dev_dtoxp,145,0
dev_dtxqf,176,1
dev_dugjn,95,0
dev_dulux,211,1
dev_duodz,130,1
dev_duytw,178,0
dev_dvawv,190,0
dev_dveyi,205,1
dev_dviga,111,0
dev_dvoxl,113,0
dev_dwakj,208,1
dev_dwfyx,174,0
dev_dwjcl,216,1
dev_dwpik,124,0
dev_dwqeq,133,0
dev_dxosc,168,1
dev_dxwbg,103,0
dev_dxyqg,142,0
dev_dywyv,128,0
dev_aqski,203,1
dev_aquhr,172,0
dev_arbmx,106,0
dev_asklp,179,1
dev_asmbi,98,0
dev_asoax,119,0
dev_asxjh,108,0
dev_asxmp,155,0
dev_ateta,116,0
dev_atkgk,139,0
dev_atpmz,132,0
dev_atpxy,129,0
dev_aufpv,148,0
dev_aumyy,203,1
dev_auuha,200,1
dev_auwdb,188,0
dev_avyao,151,1
dev_awjro,152,0
dev_awvqv,134,0
dev_awzzj,144,0
dev_axbim,99,0
dev_axcpv,117,0
dev_axhev,182,1
dev_axyaa,150,0
dev_aynag,102,0
dev_ayozb,176,1
dev_aysvk,103,0
dev_ayurd,173,0
dev_nksqy,117,0
dev_nkyui,167,0
dev_nlckz,114,0
dev_nlkpq,198,0
dev_nlmrd,120,0
dev_nlorz,136,0
dev_nlumi,172,0
dev_nlxmc,124,0
dev_nlyuo,205,1
dev_nmahw,139,0
dev_nmhbt,140,0
dev_nmiii,131,0
dev_nmkha,172,0
dev_nmxas,103,0
dev_nnatt,144,0
dev_nnazf,177,0
dev_nndpv,160,0
dev_nnnws,200,1
dev_nofbb,132,0
dev_noxqr,178,1
dev_npfhn,179,0
dev_npten,193,1
dev_npxhh,203,1
dev_nqcil,133,0
dev_nqdsg,168,1
dev_ybdpr,125,0
dev_ybqqa,157,0
dev_yddnp,157,0
dev_ydkhv,123,0
dev_yeezc,168,0
dev_yejnq,163,1
dev_yexug,105,0
dev_yfbfd,124,0
dev_yffjl,100,0
dev_yfgdf,211,0
dev_yfrkt,176,0
dev_yfryq,152,0
dev_yfurq,186,1
dev_yfvkf,160,1
dev_ygfwn,159,0
dev_ygovq,150,0
dev_ygykb,131,0
dev_yhhbj,138,0
dev_yhhqd,190,0
dev_yidrm,138,0
dev_yingx,106,0
dev_kbdur,180,0
dev_kbsnf,176,0
dev_kbunw,140,0
dev_kchsu,203,1
dev_kcmmf,176,0
dev_kdejm,203,1
dev_kdueu,104,0
dev_kduus,158,0
dev_kdvqv,137,0
dev_keasa,154,0
dev_kejdf,99,0
dev_kfcrz,182,0
dev_kffyj,120,0
dev_kfswu,163,0
dev_kgaev,110,0
dev_kgike,172,0
dev_khgco,132,0
dev_khmas,107,0
dev_khqhe,206,1
dev_kiysz,119,0
dev_kkkdz,122,0
dev_kljst,186,0
dev_kljzc,190,1
dev_knjib,167,0
dev_knpri,158,0
dev_bxjou,119,0
dev_bxkat,105,0
dev_byndb,211,0
dev_bzxih,120,0
dev_caziw,165,1
dev_cbvcj,156,0
dev_cbvyk,105,0
dev_ccckx,120,0
dev_cdcrs,121,0
dev_cdjna,116,0
dev_cdlcl,174,1
dev_ceaux,108,0
dev_cfjyl,101,0
dev_cfrda,96,0
dev_cgbuh,184,1
dev_cgnye,111,0
dev_cguhj,122,0
dev_chnvz,168,0
dev_chowl,188,0
dev_chrdn,144,0
dev_cicmn,142,0
dev_cihec,162,0
dev_cimje,130,0
dev_cisre,143,0
dev_cjalg,186,1
dev_cjspe,117,0
dev_cjysx,101,0
dev_cknfi,186,1
dev_clbzu,198,0
dev_clifs,120,0
dev_clvfn,144,0
dev_woryv,219,1
dev_wpgfo,121,0
dev_wqyeg,142,0
dev_wrbip,205,1
dev_wrmow,175,1
dev_wsvqo,168,1
dev_wtpzn,140,1
dev_wuflj,144,0
dev_wurqb,170,0
dev_wuyuf,113,0
dev_wvjvg,111,0
dev_wwcjh,145,0
dev_wwpnl,121,0
dev_wxajy,122,0
dev_wxegc,101,0
dev_wxnus,213,1
dev_wxwso,195,1
dev_wygoy,170,1
dev_wywbg,133,0
dev_wzagu,195,1
dev_wzzqi,147,0
dev_hyqgs,216,1
dev_hzdnq,139,0
dev_hzdxn,99,0
dev_hzxzy,111,0
dev_iadoe,219,1
dev_iafmk,159,0
dev_iaopl,168,0
dev_iauqr,176,1
dev_iaxhf,150,0
dev_ibjvf,138,0
dev_ibkbq,215,1
dev_iblxo,198,1
dev_ibrrr,148,0
dev_ibsib,131,0
dev_icdcu,174,1
dev_icesf,167,1
dev_icghr,184,1
dev_icppl,110,0
dev_idbst,167,0
dev_iduwo,150,0
dev_idwrx,118,0
dev_ieefq,122,0
dev_ieetz,159,1
dev_ltrfn,121,0
dev_ltvii,113,0
dev_luicn,198,1
dev_lujsn,117,0
dev_lujzd,123,0
dev_lutcp,117,0
dev_lvldf,159,0
dev_lvrnw,134,0
dev_lxefd,180,1
dev_lxejq,161,1
dev_lxskp,154,0
dev_lxuhj,105,0
dev_lxuhu,99,0
dev_lxumb,127,0
dev_lxysy,170,1
dev_lycuc,119,0
dev_lywwa,145,0
dev_lzahf,123,0
dev_lzryt,154,0
dev_magjf,184,0
dev_magxl,200,0
dev_maxng,213,1
dev_mazho,195,0
dev_opuei,235,1
dev_opwds,116,0
dev_oqbdm,154,0
dev_oqhtw,129,0
dev_oqyig,216,0
dev_orbsh,105,0
dev_orcia,169,1
dev_orvjk,118,0
dev_osdgd,154,0
dev_osdqj,117,0
dev_osuhc,160,0
dev_osxbv,157,0
dev_otiqp,130,0
dev_otjlz,110,0
dev_otthq,120,0
dev_otygr,157,1
dev_ouulr,115,0
dev_ovhvk,101,0
dev_owavm,180,0
dev_owjvl,137,0
dev_oxsiz,117,0
dev_oxtxz,118,0
dev_oyefs,108,0
dev_oyyjr,186,1
dev_ozlwg,143,0
dev_ozoyr,155,0
dev_vggsu,185,1
dev_vgjco,107,0
dev_vgkjc,167,1
dev_vgoae,208,0
dev_vgqkq,155,0
dev_vgsml,124,0
dev_vgtsy,125,1
dev_vgxjo,184,1
dev_vgzqe,205,1
dev_vhupg,107,0
dev_viaqd,152,0
dev_vigan,135,0
dev_vjkji,205,0
dev_vjygo,132,0
dev_vmlac,104,0
dev_voizx,200,0
dev_vokka,162,0
dev_volem,119,0
dev_votam,118,0
dev_vovyi,190,0
dev_vphxn,117,0
dev_vpoqf,132,0
dev_vpxtj,203,1
dev_vqcpa,162,0
dev_vqhte,150,0
dev_vqtac,167,0
dev_vrcsd,190,1
dev_vrgrt,116,0
dev_vrjvx,111,0
dev_vrmxy,186,1
dev_vrniy,168,0
dev_vrzky,200,1
dev_vsetv,155,1
dev_vsiru,117,0
dev_vstaj,208,1
dev_vtbab,213,1
dev_vtfcy,155,0
dev_pyngm,160,0
dev_pyryo,105,0
dev_pyvve,205,1
dev_pzipp,158,0
dev_pzppl,121,0
dev_pzqyo,126,0
dev_pzwuj,163,1
dev_qazse,200,1
dev_qbimy,165,0
dev_qbwoq,154,0
dev_qbxun,200,1
dev_qcdan,205,1
dev_qcmon,126,0
dev_qcokr,144,0
dev_qcpkg,185,1
dev_qdpen,133,0
dev_qdrrg,186,1
dev_qeaym,152,0
dev_qepqw,154,1
dev_qfsvq,98,0
dev_qfutg,119,0
dev_itggr,200,1
dev_itgst,201,1
dev_itqkr,184,1
dev_iueeg,168,0
dev_iuouf,162,1
dev_iupep,131,0
dev_iuuxu,122,0
dev_ivdiu,104,0
dev_ivwwd,148,0
dev_iwhwj,108,0
dev_iwntu,190,0
dev_iwuhz,113,1
dev_iwvgj,186,0
dev_iwxle,105,0
dev_ixctb,158,1
dev_ixdcy,142,0
dev_iyedv,134,0
dev_iykcp,119,0
dev_izbhm,172,1
dev_izxkr,111,0
dev_izyxy,124,0
dev_jafie,139,0
dev_jajti,150,0
dev_jalou,117,0
dev_javop,183,0
dev_jazud,186,0
dev_jbhdm,124,0
dev_jbljs,193,1
dev_jbnyt,188,1
dev_jbwnj,133,0
dev_jbxht,150,0
dev_jcbjy,108,0
dev_nqpuc,155,0
dev_nycgm,195,0
dev_oiehx,160,0
dev_optwb,113,0
dev_paeis,126,0
dev_phhqc,113,0
dev_psice,203,1
dev_pyfbn,150,0
dev_qfvfz,122,0
dev_qmatu,136,0
dev_qvwxa,188,0
dev_rdxrz,160,0
dev_rqear,108,0
dev_sbdmn,154,0
dev_smlkj,168,1
dev_sxiwt,160,1
dev_tdtdc,120,0
dev_tnghg,195,1
dev_tznnq,180,0
dev_uhwjv,106,0
dev_uprwp,95,0
dev_uziry,107,0
dev_vgfth,213,1
dev_vtjet,134,0
dev_wfluq,109,0
dev_woliu,98,0
dev_xafgx,167,0
dev_xjgny,137,0
dev_xsdfk,145,0
dev_yaslf,112,0
dev_yiqgs,172,1
dev_ynvzc,150,0
dev_yzuzm,195,1
dev_zhbej,137,0
dev_zqtiz,117,0
dev_tngoc,182,1
dev_tnizu,170,0
dev_tnnhp,111,0
dev_tomdo,187,0
dev_tqald,150,0
dev_tqdvs,154,1
dev_tqhzf,186,1
dev_tqyra,163,1
dev_trovi,150,0
dev_ttfgu,110,0
dev_ttmpl,91,0
dev_ttznq,150,0
dev_tuata,144,0
dev_tudgs,216,1
dev_tulem,184,1
dev_tuluv,126,0
dev_tvgrj,101,0
dev_tvhim,182,1
dev_twgdv,105,0
dev_twibz,112,1
dev_twnpz,139,0
dev_twqvp,193,1
dev_twubo,167,1
dev_txlot,154,0
dev_txvmi,114,0
dev_tyfqm,190,0
dev_tyxss,134,0
dev_rqqbx,170,1
dev_rqtvz,174,1
dev_rrhhj,117,0
dev_rrqsh,193,0
dev_rsfga,186,1
dev_rsgqr,145,0
dev_rthdr,114,0
dev_ruamr,150,0
dev_rukmz,125,0
dev_rulpi,213,1
dev_rvgal,135,0
dev_rvqgu,151,0
dev_rvsky,123,0
dev_rvvdr,182,1
dev_rvzby,117,0
dev_rwvqn,136,0
dev_rwvzz,213,1
dev_rxhrx,203,1
dev_rxmjz,151,0
dev_rxuvf,125,0
dev_rydkf,182,1
dev_rylnx,198,0
dev_rysqt,186,1
dev_rzcfh,125,0
dev_rzivs,216,1
dev_rzsww,124,0
dev_rzufi,124,0
dev_sajdm,111,0
dev_sarwl,109,0
dev_satrf,178,1
dev_sazyp,151,0
dev_uiihp,112,0
dev_uiuzl,193,1
dev_ujajs,208,0
dev_ujdxl,140,0
dev_ukhgi,190,1
dev_ukjsk,133,0
dev_uknkl,132,1
dev_ulgcv,123,0
dev_ulroz,130,0
dev_umcnx,225,0
dev_umgpl,193,1
dev_umjhy,180,0
dev_umllk,198,1
dev_umvdc,93,0
dev_unbnj,174,1
dev_unfmo,110,0
dev_ungmo,142,0
dev_uniia,170,0
dev_unotx,200,1
dev_unzak,105,0
dev_uoflv,154,0
dev_uohad,165,0
dev_uopsn,96,0
dev_uosaw,144,0
dev_uouib,171,0
dev_uoxll,152,0
dev_uoxqq,108,0
dev_upevt,184,1
dev_upknx,205,1
dev_wfrun,120,0
dev_wgnio,102,0
dev_wgnyf,190,0
dev_whgsd,154,0
dev_whmgp,129,0
dev_wibfw,188,0
dev_widlc,168,0
dev_wieti,131,0
